"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"physics/0512209","Sanjoy Mahajan","Sanjoy Mahajan","Estimating gas mileage: An example of order-of-magnitude physics","plain TeX with eplain, 12 pages, 4 figures, free/open-source license
  (OSL 3.0); based on a talk at the 121st AAPT National Meeting, Guelph,
  Ontario, 31 July 2000 (see
  http://www.aapt.org/AbstractSearch/FullAbstract.cfm?KeyID=8454)",,,,"physics.ed-ph",,"  I discuss how to estimate the gas mileage of a car. This discussion, which
covers air resistance and Reynolds numbers, describes one way to introduce
dimensional analysis and order-of-magnitude physics into introductory physics
(if only the syllabus would allow it). It is part teacher's guide and part
textbook chapter -- I hope not the worst parts of each.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:14:38 GMT""}]","2007-05-23"
"physics/0512211","Eduardo Anglada","Eduardo Anglada and Jose M. Soler","Filtering a distribution simultaneously in real and Fourier space","6 pages, 6 figures",,"10.1103/PhysRevB.73.115122",,"physics.comp-ph cond-mat.soft physics.atom-ph",,"  We present a method to filter a distribution so that it is confined within a
sphere of given radius r_c and, simultaneously, whose Fourier transform is
optimally confined within a sphere of radius k_c. Our procedure may have
several applications in the field of electronic structure methods, like the
generation of optimized pseudopotentials and localized pseudocore charge
distributions. As an example, we describe a particular application within the
SIESTA method for density functional calculations, in removing the spurious
rippling of the energy surface generated by the integrations in a real space
grid.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:58:49 GMT""}]","2009-11-11"
"physics/0512215","Alexander Pinter","A. Pinter, M. L\""ucke, Ch. Hoffmann","Competition between Traveling Fluid Waves of Left and Right Spiral
  Vortices and Their Different Amplitude Combinations","4 pages, 5 figures","Phys. Rev. Lett. 96, 044506 (2006).","10.1103/PhysRevLett.96.044506",,"physics.flu-dyn nlin.PS physics.comp-ph",,"  Stability, bifurcation properties, and the spatiotemporal behavior of
different nonlinear combination structures of spiral vortices in the counter
rotating Taylor-Couette system are investigated by full numerical simulations
and by coupled amplitude equation approximations. Stable cross-spiral
structures with continuously varying content of left and right spiral modes are
found. They provide a stability transferring connection between the initially
stable, axially counter propagating wave states of pure spirals and the axially
standing waves of so-called ribbons that become stable slightly further away
from onset of vortex flow.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:07:43 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jan 2006 09:01:22 GMT""},{""version"":""v3"",""created"":""Mon, 6 Feb 2006 09:44:04 GMT""}]","2008-07-19"
"physics/0512216","Kyungsik Kim","Gyuchang Lim, Soo Yong Kim, Junyuan Zhou, Seong-Min Yoon, Kyungsik Kim","Dynamical Stochastic Processes of Returns in Financial Markets","5 pages, 9 figures",,,,"physics.soc-ph q-fin.ST",,"  We study the evolution of probability distribution functions of returns, from
the tick data of the Korean treasury bond (KTB) futures and the S$&$P 500 stock
index, which can be described by means of the Fokker-Planck equation. We show
that the Fokker-Planck equation and the Langevin equation from the estimated
Kramers-Moyal coefficients are estimated directly from the empirical data. By
analyzing the statistics of the returns, we present quantitatively the
deterministic and random influences on financial time series for both markets,
for which we can give a simple physical interpretation. We particularly focus
on the diffusion coefficient that may be significantly important for the
creation of a portfolio.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:11:35 GMT""}]","2008-12-02"
"physics/0512217","Henri-Claude Nataf","Henri-Claude Nataf (LGIT), Thierry Alboussi\`ere (LGIT), Daniel Brito
  (LGIT), Philippe Cardin (LGIT), Nad\`ege Gagni\`ere (LGIT), Dominique Jault
  (LGIT), Jean-Paul Masson (LGIT), Denys Schmitt (LGIT)","Experimental study of super-rotation in a magnetostrophic spherical
  Couette flow",,,"10.1080/03091920600718426",,"physics.geo-ph",,"  We report measurements of electric potentials at the surface of a spherical
container of liquid sodium in which a magnetized inner core is differentially
rotating. The azimuthal angular velocities inferred from these potentials
reveal a strong super-rotation of the liquid sodium in the equatorial region,
for small differential rotation. Super-rotation was observed in numerical
simulations by Dormy et al. [1]. We find that the latitudinal variation of the
electric potentials in our experiments differs markedly from the predictions of
a similar numerical model, suggesting that some of the assumptions used in the
model - steadiness, equatorial symmetry, and linear treatment for the evolution
of both the magnetic and velocity fields - are violated in the experiments. In
addition, radial velocity measurements, using ultrasonic Doppler velocimetry,
provide evidence of oscillatory motion near the outer sphere at low latitude:
it is viewed as the signature of an instability of the super-rotating region.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:14:59 GMT""}]","2016-08-16"
"physics/0512218","David Burton","David A. Burton, Jonathan Gratus and Robin W. Tucker","Asymptotic analysis of ultra-relativistic charge","31 pages, 4 figures","Ann. Phys. 322/3 pp 599-632 (2007)","10.1016/j.aop.2006.05.009","Cockcroft-05-04","physics.acc-ph physics.plasm-ph",,"  This article offers a new approach for analysing the dynamic behaviour of
distributions of charged particles in an electromagnetic field. After
discussing the limitations inherent in the Lorentz-Dirac equation for a single
point particle a simple model is proposed for a charged continuum interacting
self-consistently with the Maxwell field in vacuo. The model is developed using
intrinsic tensor field theory and exploits to the full the symmetry and
light-cone structure of Minkowski spacetime. This permits the construction of a
regular stress-energy tensor whose vanishing divergence determines a system of
non-linear partial differential equations for the velocity and self-fields of
accelerated charge. Within this covariant framework a particular perturbation
scheme is motivated by an exact class of solutions to this system describing
the evolution of a charged fluid under the combined effects of both self and
external electromagnetic fields. The scheme yields an asymptotic approximation
in terms of inhomogeneous linear equations for the self-consistent Maxwell
field, charge current and time-like velocity field of the charged fluid and is
defined as an ultra-relativistic configuration. To facilitate comparisons with
existing accounts of beam dynamics an appendix translates the tensor
formulation of the perturbation scheme into the language involving electric and
magnetic fields observed in a laboratory (inertial) frame.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:07:18 GMT""},{""version"":""v2"",""created"":""Mon, 24 Jul 2006 17:50:01 GMT""}]","2007-05-23"
"physics/0512219","Chuck Yeung","Suddhashil Chattopadhyay, Radu Moldovan, Chuck Yeung, and X.L. Wu","Swimming Efficiency of Bacterium Escherichia Coli","6 pages",,"10.1073/pnas.0602043103",,"physics.bio-ph",,"  We use in vivo measurements of swimming bacteria in an optical trap to
determine fundamental properties of bacterial propulsion. In particular, we
determine the propulsion matrix, which relates the angular velocity of the
flagellum to the torques and forces propelling the bacterium. From the
propulsion matrix dynamical properties such as forces, torques, swimming speed
and power can be obtained from measurements of the angular velocity of the
motor. We find significant heterogeneities among different individuals even
though all bacteria started from a single colony. The propulsive efficiency,
defined as the ratio of the propulsive power output to the rotary power input
provided by the motors, is found to be 0.2%.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:30:47 GMT""}]","2009-11-11"
"physics/0512220","Y.H. Yuan","Y.H. Yuan","Search for monopoles using superconducting quantum interference device
  (SQUID)","3 pages, no figure, references added",,,,"physics.class-ph cond-mat.other cond-mat.supr-con",,"  The discovery of magnetic monopoles would be of fundamental significance in
the research of modern physics. In this paper, we present a short review of the
history of magnetic monopole research. The theoretical work and experimental
technique in the search for magnetic monopoles using SQUID (superconducting
quantum interference device) are investigated. We also discuss the properties
of magnetic monopole and propose a possible experimental test based upon the
Faraday induction method.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:56:50 GMT""},{""version"":""v2"",""created"":""Fri, 23 Dec 2005 20:57:42 GMT""},{""version"":""v3"",""created"":""Mon, 20 Feb 2006 20:52:53 GMT""}]","2007-05-23"
"physics/0512221","Sidney Redner","T. Antal and S. Redner","Escape of a Uniform Random Walk from an Interval","8 pages, 8 figures, 2 column revtex4 format","Journal of Statistical Physics 123, 1129 (2006)","10.1007/s10955-006-9139-2",,"physics.data-an cond-mat.stat-mech",,"  We study the first-passage properties of a random walk in the unit interval
in which the length of a single step is uniformly distributed over the finite
range [-a,a]. For a of the order of one, the exit probabilities to each edge of
the interval and the exit time from the interval exhibit anomalous properties
stemming from the change in the minimum number of steps to escape the interval
as a function of the starting point. As a decreases, first-passage properties
approach those of continuum diffusion, but non-diffusive effects remain because
of residual discreteness effects
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:13:43 GMT""}]","2007-05-23"
"physics/0512222","Vitaly Kresin","Vitaly V. Kresin and Yu. N. Ovchinnikov","Fast electronic relaxation in metal nanoclusters via excitation of
  coherent shape deformations: Circumventing a bottleneck","21 pages","Phys. Rev. B 73, 115412 (2006)","10.1103/PhysRevB.73.115412",,"physics.atm-clus cond-mat.mes-hall",,"  Electron-phonon relaxation in size-quantized systems may become inhibited
when the spacing of discrete electron energy levels exceeds the magnitude of
the phonon frequency. We show, however, that nanoclusters can support a fast
nonradiative relaxation channel which derives from their distinctive ability to
undergo Jahn-Teller shape deformations. Such a deformation represents a
collective and coherent vibrational excitation and enables electronic
transitions to occur without a multiphonon bottleneck. We analyze this
mechanism for a metal cluster within the analytical framework of a
three-dimensional potential well undergoing a spheroidal distortion. An
expression for the time evolution of the distortion parameter is derived, the
electronic level crossing condition formulated, and the probability of
electronic transition at a level crossing is evaluated. An application to
electron-hole recombination in a closed-shell aluminum cluster with 40
electrons shows that the short (~250 fs) excitation lifetime observed in recent
pump-probe experiments can be explained by the proposed mechanism.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:29:20 GMT""}]","2007-05-23"
"physics/0512223","Telhat Ozdogan","Sedat Gumus and Telhat Ozdogan","Reply to Comment on Symbolic Calculation of Two-Center Overlap Integrals
  Over Slater-Type Orbitals","1 page","Journal of the Chinese Chemical Society, 51 (2004) 879-880",,,"physics.chem-ph astro-ph hep-ph math-ph math.MP",,"  The comments of Guseinov are critically analyzed. Contrary to his comments,
it is pointed out that our formula for two-center overlap integrals over Slater
type orbitals have been derived independently, not derived from the earlier
works of Guseinov by changing the summation indices. Therefore, our algorithm
is original, is not affected from possible instability problems and can be used
in large scale calculations without loss of significant figures. Meanwhile, it
should be stressed that his comment on the transformation of our formula into
his formula proves the correctness of our algorithm and therefore can be
regarded as a nice sound of science.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:51:55 GMT""}]","2007-05-23"
"physics/0512224","Gordon McCabe","Gordon McCabe","Explanation and discovery in aerodynamics",,,,,"physics.gen-ph",,"  The purpose of this paper is to discuss and clarify the explanations commonly
cited for the aerodynamic lift generated by a wing, and to then analyse, as a
case study of engineering discovery, the aerodynamic revolutions which have
taken place within Formula 1 in the past 40 years. The paper begins with an
introduction that provides a succinct summary of the mathematics of fluid
mechanics.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 23:35:49 GMT""}]","2007-05-23"
"physics/0512225","Kyungsik Kim","Kyungsik Kim, Seong-Min Yoon, Soo Yong Kim, Ki-Ho Chang, Yup Kim","Dynamical Structures of High-Frequency Financial Data","4 pages, 4 figures",,,,"physics.soc-ph q-fin.ST",,"  We study the dynamical behavior of high-frequency data from the Korean Stock
Price Index (KOSPI) using the movement of returns in Korean financial markets.
The dynamical behavior for a binarized series of our models is not completely
random. The conditional probability is numerically estimated from a return
series of KOSPI tick data. Non-trivial probability structures can be
constituted from binary time series of autoregressive (AR), logit, and probit
models, for which the Akaike Information Criterion shows a minimum value at the
15th order. From our results, we find that the value of the correct match ratio
for the AR model is slightly larger than the findings of other models.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 04:03:04 GMT""}]","2008-12-02"
"physics/0512226","Stefan Bernet","Christoph Heinrich, Stefan Bernet and Monika Ritsch-Marte","Nanosecond microscopy with a high spectroscopic resolution","4 pages, 5 figures, submitted",,"10.1088/1367-2630/8/3/036",,"physics.optics physics.bio-ph",,"  We demonstrate coherent anti-Stokes Raman scattering (CARS) microscopy in a
wide-field setup with nanosecond laser pulse excitation. In contrast to
confocal setups, the image of a sample can be recorded with a single pair of
excitation pulses. For this purpose the excitation geometry is specially
designed in order to satisfy the phase matching condition over the whole sample
area. The spectral, temporal and spatial sensitivity of the method is
demonstrated by imaging test samples, i.e. oil vesicles in sunflower seeds, on
a nanosecond timescale. The method provides snapshot imaging in 3 nanoseconds
with a spectral resolution of 25 wavenumbers (cm$^{-1}$).
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 10:46:36 GMT""}]","2009-11-11"
"physics/0512227","Debasish Das","M.R. Dutta Majumdar, Debasish Das, Tapan K. Nayak","Opto-Electronics in Large Array Gas Detector Systems","8 pages and 7 figures. Poster presented at PHOTONICS-2004, Cochin,
  INDIA, 9-11 December 2004",,,,"physics.ins-det nucl-ex",,"  Large array gas detector systems are used in particle and nuclear physics
experiments involving high-energy nucleon-nucleon and heavy-ion collisions. We
have observed that in large array gas detector systems the momentary discharges
inside the detector cells result in slowdown of High Voltage conditioning and
possible hindrances in signal processing. We have explored the opto-electronic
devices like the opto-coupler, optical fibre and signal processing circuit,
which provide successful monitoring procedures and preventive measures to
overcome the challenges produced in such complex detector systems.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 11:00:04 GMT""}]","2010-01-27"
"physics/0512228","Fedor V. Prigara","Fedor V.Prigara","Induced radiation processes in single-bubble sonoluminescence","4 pages, REVTeX",,,,"physics.flu-dyn",,"  According to the recent revision of the theory of thermal radiation, thermal
black-body radiation has an induced origin. We show that in single-bubble
sonoluminescence thermal radiation is emitted by a spherical resonator,
coincident with the sonoluminescing bubble itself, instead of the ensemble of
elementary resonators emitting thermal black-body radiation in the case of open
gaseous media. For a given wavelength, the diameter of the resonator is fixed,
and this explains the very high constancy in phase of light flashes from the
sonoluminesing bubble, which is better than the constancy of period of a
driving acoustic wave.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:12:52 GMT""}]","2007-05-23"
"physics/0512229","Burra Sidharth Gautam","B.G.Sidharth","Strings and Planck Oscillators","24 pages.Based on two Chapters of ""Universe of Fluctuations"",
  Springer, NL, 2005","ChaosSolitonsFractals30:300-311,2006","10.1016/j.chaos.2006.01.114",,"physics.gen-ph",,"  We contrast two theories which both start in one dimension at the Planck
scale, viz., Quantum SuperString or M-Theory and a theory of Planck
oscillations
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:44:02 GMT""}]","2015-06-26"
"physics/0512230","Israfil Guseinov","I.I.Guseinov","Comment on Formulas and numerical table for the radial part of overlap
  integrals with the same screening parametres of Slater-type orbitals","3 pages",,,,"physics.chem-ph physics.comp-ph",,"  Recently published formulas for the calculation of radial part of overlap
integrals (E.Oztekin, M.Yavuz, S.Atalay, Theor.Cmem.Acc., (2001), 106, 264) are
critically analyzed. It is demonstrated that the presented in this work
formulas are not original and they can be easily be obtained from the formulas
already established in our papers.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 14:09:53 GMT""}]","2007-05-23"
"physics/0512231","Luis O. Silva","G. Sorasio, M. Marti, R. Fonseca, L. O. Silva","Very High Mach Number Electrostatic Shocks in Collisionless Plasmas","6 pages, submitted to Phys. Rev. Lett","Phys.Rev.Lett. 96 (2006) 045005","10.1103/PhysRevLett.96.045005",,"physics.plasm-ph astro-ph",,"  The kinetic theory of collisionless electrostatic shocks resulting from the
collision of plasma slabs with different temperatures and densities is
presented. The theoretical results are confirmed by self-consistent
particle-in-cell simulations, revealing the formation and stable propagation of
electrostatic shocks with very high Mach numbers ($M \gg 10$), well above the
predictions of the classical theories for electrostatic shocks.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 14:55:07 GMT""}]","2009-11-11"
"physics/0512232","Steffen Kappler","Steffen Kappler (1), Martin Erdmann (1), Ulrich Felzmann (2), Dominic
  Hirschbuehl (2), Matthias Kirsch (1), Guenter Quast (2), Alexander Schmidt
  (2) and Joanna Weng (2) ((1) RWTH Aachen university, Germany (2) Karlsruhe
  university, Germany)","The PAX Toolkit and its Applications at Tevatron and LHC",,"IEEETrans.Nucl.Sci.53:506-512,2006","10.1109/TNS.2006.870179",,"physics.data-an",,"  At the CHEP03 conference we launched the Physics Analysis eXpert (PAX), a C++
toolkit released for the use in advanced high energy physics (HEP) analyses.
This toolkit allows to define a level of abstraction beyond detector
reconstruction by providing a general, persistent container model for HEP
events. Physics objects such as particles, vertices and collisions can easily
be stored, accessed and manipulated. Bookkeeping of relations between these
objects (like decay trees, vertex and collision separation, etc.) including
deep copies is fully provided by the relation management. Event container and
associated objects represent a uniform interface for algorithms and facilitate
the parallel development and evaluation of different physics interpretations of
individual events. So-called analysis factories, which actively identify and
distinguish different physics processes and study systematic uncertainties, can
easily be realized with the PAX toolkit.
  PAX is officially released to experiments at Tevatron and LHC. Being explored
by a growing user community, it is applied in a number of complex physics
analyses, two of which are presented here. We report the successful application
in studies of t-tbar production at the Tevatron and Higgs searches in the
channel t-tbar-Higgs at the LHC and give a short outlook on further
developments.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:12:20 GMT""}]","2009-11-11"
"physics/0512233","Enrique Ordaz Romay","Enrique Oradaz Romay","Vibration by relativistic effects","14 Pages, 7 figures",,,,"physics.gen-ph",,"  Relativity, time reversal invariance in mechanics and principle of causality
can be in the bases of a type of vibration of the extensive objects. It is
because, the detailed analysis of the relativistic movement of an extensive
body entail that all the objects must have inherent a vibratory movement to
their own size. Such effect does not happen when it works with point particles
thus is not stranger who happens unnoticed in the traditional studies. Also we
can find relation between the form of vibration of the extensive objects and
the energy that calculates by quantum considerations.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:40:14 GMT""},{""version"":""v2"",""created"":""Tue, 27 Dec 2005 09:58:45 GMT""}]","2007-05-23"
"q-bio/0512039","Mauro Mobilia Dr","Mauro Mobilia, Ivan T. Georgiev and Uwe C. Tauber","Phase Transitions and Spatio-Temporal Fluctuations in Stochastic Lattice
  Lotka-Volterra Models","19 pages, 11 figures, 2-column revtex4 format. Minor modifications.
  Accepted in the Journal of Statistical Physics. Movies corresponding to
  Figures 2 and 3 are available at
  http://www.phys.vt.edu/~tauber/PredatorPrey/movies/","Journal of Statistical Physics, Vol.128 (Nos. 1/2), 447 (2007)","10.1007/s10955-006-9146-3",,"q-bio.PE cond-mat.stat-mech nlin.AO q-bio.QM",,"  We study the general properties of stochastic two-species models for
predator-prey competition and coexistence with Lotka-Volterra type interactions
defined on a $d$-dimensional lattice. Introducing spatial degrees of freedom
and allowing for stochastic fluctuations generically invalidates the classical,
deterministic mean-field picture. Already within mean-field theory, however,
spatial constraints, modeling locally limited resources, lead to the emergence
of a continuous active-to-absorbing state phase transition. Field-theoretic
arguments, supported by Monte Carlo simulation results, indicate that this
transition, which represents an extinction threshold for the predator
population, is governed by the directed percolation universality class. In the
active state, where predators and prey coexist, the classical center
singularities with associated population cycles are replaced by either nodes or
foci. In the vicinity of the stable nodes, the system is characterized by
essentially stationary localized clusters of predators in a sea of prey. Near
the stable foci, however, the stochastic lattice Lotka-Volterra system displays
complex, correlated spatio-temporal patterns of competing activity fronts.
Correspondingly, the population densities in our numerical simulations turn out
to oscillate irregularly in time, with amplitudes that tend to zero in the
thermodynamic limit. Yet in finite systems these oscillatory fluctuations are
quite persistent, and their features are determined by the intrinsic
interaction rates rather than the initial conditions. We emphasize the
robustness of this scenario with respect to various model perturbations.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 23:58:59 GMT""},{""version"":""v2"",""created"":""Wed, 24 May 2006 20:14:37 GMT""}]","2007-06-07"
"q-bio/0512040","Gurinder Atwal","Gurinder Singh Atwal, William Bialek","Ambiguous model learning made unambiguous with 1/f priors","8 pages, 2 figures","NIPS 16, MIT Press, Cambridge (2004)",,,"q-bio.OT q-bio.NC",,"  What happens to the optimal interpretation of noisy data when there exists
more than one equally plausible interpretation of the data? In a Bayesian
model-learning framework the answer depends on the prior expectations of the
dynamics of the model parameter that is to be inferred from the data. Local
time constraints on the priors are insufficient to pick one interpretation over
another. On the other hand, nonlocal time constraints, induced by a $1/f$ noise
spectrum of the priors, is shown to permit learning of a specific model
parameter even when there are infinitely many equally plausible interpretations
of the data. This transition is inferred by a remarkable mapping of the model
estimation problem to a dissipative physical system, allowing the use of
powerful statistical mechanical methods to uncover the transition from
indeterminate to determinate model learning.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 06:25:39 GMT""}]","2007-05-23"
"quant-ph/0512192","Viacheslav Belavkin","V. P. Belavkin and O. Melsheimer","A Stochastic Hamiltonian Approach for Quantum Jumps, Spontaneous
  Localizations, and Continuous Trajectories","32 pages. See also related papers at
  http://www.maths.nott.ac.uk/personal/vpb/vpb_publications.html and
  http://www.maths.nott.ac.uk/personal/vpb/research/fil_con.html","Quantum Semiclass. Opt. 8 (1996) 167--187","10.1088/1355-5111/8/1/013",,"quant-ph",,"  We give an explicit stochastic Hamiltonian model of discontinuous unitary
evolution for quantum spontaneous jumps like in a system of atoms in quantum
optics, or in a system of quantum particles that interacts singularly with
""bubbles"" which admit a continual counting observation. This model allows to
watch a quantum trajectory in a photodetector or in a cloud chamber by
spontaneous localisations of the momentums of the scattered photons or bubbles.
Thus, the continuous reduction and spontaneous localization theory is obtained
from a Hamiltonian singular interaction as a result of quantum filtering, i.e.,
a sequential time continuous conditioning of an input quantum process by the
output measurement data. We show that in the case of indistinguishable
particles or atoms the a posteriori dynamics is mixing, giving rise to an
irreversible Boltzmann-type reduction equation. The latter coincides with the
nonstochastic Schroedinger equation only in the mean field approximation,
whereas the central limit yelds Gaussian mixing fluctuations described by a
quantum state reduction equation of diffusive type.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:39:38 GMT""}]","2009-11-11"
"quant-ph/0512196","Viacheslav Belavkin","R. L. Stratonovich and V. P. Belavkin","On the Dynamical Interpretation for the Quantum-Measurement Projection
  Postulate","16 pages. See also related papers at
  http://www.maths.nott.ac.uk/personal/vpb/research/mes_fou.html and
  http://www.maths.nott.ac.uk/personal/vpb/research/cau_idy.html","Intern. Journal of Theoretical Physics 35 (1996) No 11, 2215 -
  2228",,,"quant-ph",,"  An apparatus model with discrete momentum space suitable for the exact
solution of the problem is considered. The special Hamiltonian of its
interaction with the object system under consideration is chosen. In this
simple case it is easy to illustrate how difficulties in constructing the
dynamical interpretation of selective collapse could be overcomed without any
limiting procedure. For this purpose one can apply either averaging with
respect to a non-quantum parameter or reducing the algebra of the joint system
operators (i. e. passing to the quantum system subalgebra). The latter
procedure effectively implies averaging with respect to apparatus quantum
variables not belonging to the system.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:22:56 GMT""}]","2007-05-23"
"quant-ph/0512198","Allan I. Solomon","Allan I. Solomon (1) and Sonia G. Schirmer (2)((1) The Open
  University, Milton Keynes, UK,(2) DAMTP, Cambridge University, UK)","Bohm-Aharonov type effects in dissipative atomic systems","9 pages, 4 references. Presented at the 23rd International Conference
  on Differential Geometric Methods in Theoretical Physics,August 20-26, Nankai
  Institute of Mathematics, Tianjin, China",,,,"quant-ph",,"  A state in quantum mechanics is defined as a positive operator of norm 1. For
finite systems, this may be thought of as a positive matrix of trace 1. This
constraint of positivity imposes severe restrictions on the allowed evolution
of such a state. From the mathematical viewpoint, we describe the two forms of
standard dynamical equations - global (Kraus) and local (Lindblad) - and show
how each of these gives rise to a semi-group description of the evolution. We
then look at specific examples from atomic systems, involving 3-level systems
for simplicity, and show how these mathematical constraints give rise to
non-intuitive physical phenomena, reminiscent of Bohm-Aharonov effects.
  In particular, we show that for a multi-level atomic system it is generally
impossible to isolate the levels, and this leads to observable effects on the
population relaxation and decoherence.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:46:58 GMT""}]","2007-05-23"
"quant-ph/0512202","Bruno Cocciaro","Bruno Cocciaro","Tachyons and EPR correlations","18 pages, 5 figures, submitted to ""Foundations of Physics""",,,,"quant-ph",,"  No causal paradoxes will occur if a preferred reference frame for tachyons
propagation is assumed, and results of Bell's inequality experiments may be
well explained without using any telepathyc effect. We can read G. Faraci's and
others' results, Lettere al Nuovo Cimento, 15, 607-611 (1974), as a first
quantitive indication on the tachyons preferred reference frame velocity with
respect to the Earth, as well as on the tachyons velocity in their preferred
reference frame. In order to experimentally prove this assumption's validity,
Aspect-like experiments should be slightly modified.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:40:42 GMT""}]","2009-09-29"
"quant-ph/0512203","Jerry Finkelstein","J. Finkelstein (LBNL and SJSU)","""Quantum-states-as-information"" meets Wigner's friend: A comment on
  Hagar and Hemmo","6 pages, LaTeX, no figures",,,,"quant-ph",,"  This is a comment on the paper by Hagar and Hemmo (quant-ph/0512095) in which
they suggest that information-theoretic approaches to quantum theory are
incomplete.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:33:34 GMT""}]","2007-05-23"
"quant-ph/0512204","Michael Henry","Michael K. Henry, Joseph Emerson, Rudy Martinez, and David G. Cory","Study of localization in the quantum sawtooth map emulated on a quantum
  information processor","20 pages, 9 figures","Physical Review A, Vol. 74, No. 6, Article 062317, 2006","10.1103/PhysRevA.74.062317",,"quant-ph",,"  Quantum computers will be unique tools for understanding complex quantum
systems. We report an experimental implementation of a sensitive, quantum
coherence-dependent localization phenomenon on a quantum information processor
(QIP). The localization effect was studied by emulating the dynamics of the
quantum sawtooth map in the perturbative regime on a three-qubit QIP. Our
results show that the width of the probability distribution in momentum space
remained essentially unchanged with successive iterations of the sawtooth map,
a result that is consistent with localization. The height of the peak relative
to the baseline of the probability distribution did change, a result that is
consistent with our QIP being an ensemble of quantum systems with a
distribution of errors over the ensemble. We further show that the previously
measured distributions of control errors correctly account for the observed
changes in the probability distribution.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:51:31 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jul 2006 16:42:26 GMT""}]","2009-11-11"
"quant-ph/0512205","Viacheslav Belavkin","V. P. Belavkin and M. G. Perkins","The Nondemolition Measurement of Quantum Time","6 pages. See also relevant papers at
  http://www.maths.nott.ac.uk/personal/vpb/research/mes_fou.html and
  http://www.maths.nott.ac.uk/personal/vpb/research/cau_idy.html","International Journal of Theoretical Physics 37 (1998) No 1, 219 -
  226",,,"quant-ph",,"  The problem of time operator in quantum mechanics is revisited. The unsharp
measurement model for quantum time based on the dynamical system-clock
interaction, is studied. Our analysis shows that the problem of the quantum
time operator with continuous spectrum cannot be separated from the measurement
problem for quantum time.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:17:23 GMT""}]","2007-05-23"
"quant-ph/0512206","Viacheslav Belavkin","V. P. Belavkin","Quantum Stochastics, Dirac Boundary Value Problem, and the Ultra
  Relativistic Limit","20 pages. See other related papers at
  http://www.maths.nott.ac.uk/personal/vpb/research/evo_equ.html and
  http://www.maths.nott.ac.uk/personal/vpb/research/ana_cal.html","Rep. on Math. Phys. 46 (2000) No 3, 359 - 382",,,"quant-ph",,"  We prove that a single-jump quantum stochastic unitary evolution is
equivalent to a Dirac boundary value problem on the half line in an extra
dimension. This amounts to the equivalence of the quantum measurement
boundary-value problem in infinite number particles space to the stochastic
calculus in Fock space. It is shown that this exactly solvable model can be
obtained from a Schroedinger boundary value problem for a positive relativistic
Hamiltonian in the half-line as the inductive ultra relativistic limit,
correspondent to the input flow of Dirac particles with asymptotically infinite
momenta. Thus the stochastic limit can be interpreted in terms of quantum
stochastic scheme for time-continuous non-demolition observation. The question
of microscopic time reversibility is also studied for this paper.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:41:28 GMT""}]","2007-05-23"
