"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"nucl-ex/0511052","David Chiladze","D.Chiladze, A.Kacharava, F.Rathmann, C.Wilkin, S.Barsov, J.Carbonell,
  S.Dymov, R.Engels, P.D.Eversheim, R.Gebel, V.Glagolev, K.Grigoriev, D.Gusev,
  M. Hartmann, F. Hinterberger, V.Hejny, A.Khoukaz, I.Keshelashvili, H.R.Koch,
  V.Komarov, P.Kulessa, A.Kulikov, A.Lehrach, B.Lorentz, G.Macharashvili,
  R.Maier, Y.Maeda, R.Menke, T.Mersmann, S.Merzliakov, M.Mikirtytchiants,
  S.Mikirtytchiants, A.Mussgiller, M.Nioradze, H.Ohm, D.Prasuhn, H.Rohdjess,
  R.Schleichert, H.Seyfarth, E.Steffens, H.J.Stein, H.Stroeher, S.Trusov,
  K.Ulbrich, Yu.Uzikov, A.Wronska, and S.Yaschenko","Determination of Deuteron Beam Polarizations at COSY","12 pages, 13 figures","Phys.Rev.ST Accel.Beams 9:050101,2006","10.1103/PhysRevSTAB.9.050101",,"nucl-ex",,"  The vector and tensor polarizations of a deuteron beam have been measured
using elastic deuteron-carbon scattering at 75.6 MeV and deuteron-proton
scattering at 270 MeV. After acceleration to 1170 MeV inside the COSY ring, the
polarizations of the deuterons were checked by studying a variety of nuclear
reactions using a cluster target at the ANKE magnet spectrometer placed at an
internal target position of the storage ring. All these measurements were
consistent with the absence of depolarization during acceleration and provide a
number of secondary standards that can be used in subsequent experiments at the
facility.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 03:37:05 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jan 2006 18:03:07 GMT""},{""version"":""v3"",""created"":""Sun, 2 Apr 2006 21:02:18 GMT""},{""version"":""v4"",""created"":""Mon, 24 Apr 2006 22:25:58 GMT""}]","2009-06-11"
"nucl-ex/0511053","Michal Bystersky","M. Bystersky (for the STAR Collaboration)","Non-Gaussian Effects in Identical Pion Correlation Function at STAR","6 pages, 3 figures; proceedings contribution to the Workshop on
  Particle Correlations and Femtoscopy, Kromeriz, Czech Republic, 15-17 Aug.
  2005",,"10.1063/1.2197466",,"nucl-ex",,"  Preliminary femtoscopic results on identical pions from high statistics data
set of Au+Au collisions at sqrt{s_NN}=200 GeV taken during the fourth RHIC run
are presented. The measured three-dimensional correlation function is studied
at low relative momenta using the Gaussian parametrization and the Levy stable
parametrization. The latter is expected to better describe the data. As the
results show, both parametrizations underestimate the peak of the measured
correlation function equally.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 08:44:37 GMT""}]","2009-11-11"
"nucl-ex/0511054","Ann-Cecilie Sunde","A. C. Larsen, R. Chankova, M. Guttormsen, F. Ingebretsen, T.
  L\""onnroth, S. Messelt, J. Rekstad, A. Schiller, S. Siem, N. U. H. Syed, A.
  Voinov and S. W. {\O}deg{\aa}rd","Microcanonical entropies and radiative strength functions of $^{50,51}$V","16 pages including 9 figures","Phys. Rev. C 73, 064301 (2006)","10.1103/PhysRevC.73.064301",,"nucl-ex",,"  The level densities and radiative strength functions (RSFs) of $^{50,51}$V
have been extracted using the ($^3$He,$\alpha \gamma$) and
($^3$He,$^3$He$^{\prime} \gamma$) reactions, respectively. From the level
densities, microcanonical entropies are deduced. The high $\gamma$-energy part
of the RSF is described by the giant electric dipole resonance. A significant
enhancement over the predicted strength in the region of $E_{\gamma} \lesssim
3$ MeV is seen, which at present has no theoretical explanation.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 09:25:28 GMT""},{""version"":""v2"",""created"":""Mon, 19 Jun 2006 08:44:39 GMT""}]","2016-08-16"
"nucl-ex/0511055","Debasish Das","Debasish Das, Guoji Lin, Subhasis Chattopadhyay, Alexei Chikanian,
  Evan Finch, Tapan K Nayak, Sergey Y Panitkin, Jack Sandweiss, Alexandre
  Alarcon Suaide, Haibin Zhang","Preliminary Results on Direct Photon-Photon HBT Measurements in
  $\sqrt{s_{\rm{NN}}}$ = 62.4 GeV and 200 GeV Au+Au Collisions at RHIC","for the STAR Collaboration. 7 pages 2 figures Poster presented at
  18th International Conference on Ultrarelativistic Nucleus-Nucleus
  Collisions: Quark Matter 2005 (QM 2005), Budapest, Hungary, 4-9 Aug 2005. To
  be published in NUKLEONIKA, Polish Scientific Journal","NUKLEONIKA 2006;51(Supplement 3): S55 - S58",,,"nucl-ex",,"  We present the preliminary results on direct photon interferometry
measurements in Au+Au collisions at $\sqrt{s_{\rm{NN}}}$ = 62.4 and 200 GeV
using the STAR (Solenoidal Tracker at RHIC) detector. Photons are reconstructed
via $e^+/e^-$ conversions in STAR Time Projection Chamber(TPC) and energy
deposited by photons in STAR Barrel Electromagnetic Calorimeter(BEMC). The
two-photon correlations are measured using (1) both photons measured using
BEMC; (2) one photon from conversions and the other measured with BEMC. Both
the methodologies and the possible constraints in the correlation function
measurements are discussed.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:21:18 GMT""}]","2009-08-25"
"nucl-th/0511084","D. Zschiesche","A.Dumitru, L.Portugal and D.Zschiesche","Inhomogeneous freeze-out in relativistic heavy-ion collisions","8 pages, 5 figures","Phys.Rev. C73 (2006) 024902","10.1103/PhysRevC.73.024902",,"nucl-th nucl-ex",,"  A QCD phase transition may reflect in a inhomogeneous decoupling surface of
hadrons produced in relativistic heavy-ion collisions. We show that due to the
non-linear dependence of the particle densities on the temperature and
baryon-chemical potential such inhomogeneities should be visible even in the
integrated, inclusive abundances. We analyze experimental data from Pb+Pb
collisions at CERN-SPS and Au+Au collisions at BNL-RHIC to determine the
amplitude of inhomogeneities.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:21:08 GMT""}]","2009-11-11"
"nucl-th/0511085","Craig Roberts","D.B. Blaschke, A.V. Prozorkevich, C.D. Roberts, S.M. Schmidt, S.A.
  Smolyansky","Pair production and optical lasers","4 pages, 3 figures","Phys.Rev.Lett.96:140402,2006","10.1103/PhysRevLett.96.140402","ANL-PHY-11422-TH-2005, JINR-E2-2005-176, MPG-VT-UR 264/05","nucl-th hep-ph nucl-ex physics.plasm-ph",,"  Electron-positron pair creation in a standing wave is explored using a
parameter-free quantum kinetic equation. Field strengths and frequencies
corresponding to modern optical lasers induce a material polarisation of the
QED vacuum, which may be characterised as a plasma of e^+ e^- quasiparticle
pairs with a density of ~10^{20}cm^{-3}. The plasma vanishes almost completely
when the laser field is zero, leaving a very small residual pair density, n_r,
which is the true manifestation of vacuum decay. The average pair density per
period is proportional to the laser intensity but independent of the frequency,
\nu. The density of residual pairs also grows with laser intensity but n_r
\propto \nu^2. With optical lasers at the forefront of the current generation,
these dynamical QED vacuum effects may generate 5-10 observable two-photon
annihilation events per laser pulse.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:31:14 GMT""}]","2010-03-04"
"nucl-th/0511086","Takashi Nakatsukasa","Nobuo Hinohara, Takashi Nakatsukasa, Masayuki Matsuo, and Kenichi
  Matsuyanagi","Effects of Time-Odd Components in Mean Field on Large Amplitude
  Collective Dynamics","32 pages, 9 figures","Prog.Theor.Phys.115:567-599,2006","10.1143/PTP.115.567",,"nucl-th",,"  We apply the adiabatic self-consistent collective coordinate (ASCC) method to
the multi-O(4) model and study collective mass (inertia function) of the
many-body tunneling motion. Comparing results with those of the exact
diagonalization, we show that the ASCC method succeeds in describing gradual
change of excitation spectra from an anharmonic vibration about the spherical
shape to a doublet pattern associated with a deformed double-well potential
possessing the oblate-prolate symmetry. The collective mass is significantly
increased by the quadrupole-pairing contribution to time-odd components of the
moving mean field. In contrast, the cranking (Inglis-Belyaev) mass based on the
constrained mean field, which ignores the time-odd components, is smaller than
the ASCC mass and fails to reproduce the exact spectra.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 00:10:25 GMT""}]","2011-02-02"
"nucl-th/0511087","Satoru Sugimoto","Satoru Sugimoto, Kiyomi Ikeda, Hiroshi Toki","Study of the effect of the tensor correlation on the alpha clustering in
  8Be with the charge- and parity-projected Hartree-Fock method","13 pages, 3 figures","Nucl.Phys.A789:155-163,2007","10.1016/j.nuclphysa.2007.04.004",,"nucl-th",,"  We study the effect of the tensor correlation in the alpha clustering in 8Be.
We take as the wave function of the alpha particle the one calculated by the
charge- and parity-projected Hartree- Fock method, which was proposed by us
recently. We use the wave function in a cluster-model calculation. The
expectation value of the potential energy from the tensor force is almost
double of that in the alpha particle. The energy surface as the function of the
relative distance of two alpha particles becomes much steeper in an inner
region by the inclusion of the tensor correlation in the wave function of the
alpha particle. This is caused by the p-state mixing induced by the tensor
correlation. By superposing the wave function with different relative
distances, the reasonable binding energy of 8Be is obtained.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 08:28:52 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 2006 03:44:45 GMT""}]","2008-11-26"
"nucl-th/0511088","Sotiris Athanassopoulos","S. Athanassopoulos, E. Mavrommatis, K. A. Gernoth and J. W. Clark","Nuclear mass systematics by complementing the Finite Range Droplet Model
  with neural networks","Proceedings for the 15th Hellenic Symposium on Nuclear Physics",,,,"nucl-th",,"  A neural-network model is developed to reproduce the differences between
experimental nuclear mass-excess values and the theoretical values given by the
Finite Range Droplet Model. The results point to the existence of subtle
regularities of nuclear structure not yet contained in the best
microscopic/phenomenological models of atomic masses. Combining the FRDM and
the neural-network model, we create a hybrid model with improved predictive
performance on nuclear-mass systematics and related quantities.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 09:42:06 GMT""}]","2007-05-23"
"nucl-th/0511089","Fouad Majeed A.","F. A. Majeed","Level excitation and transition probabilities of some nuclei in the
  lower fp-shell","8 pages, 3 figures, 3 tables, Latex","Rom.J.Phys.53:809-815,2008",,,"nucl-th",,"  Unrestricted shell model calculations in the lower $fp$-shell region for the
nuclei $^{46}$Ti, $^{46}$Cr and $^{46}$V have been performed for the isovector
T=1 positive parity states using the shell model code OXBASH for Windows by
employing the effective interactions GXPF1, FPD6 and KB3G. The level schemes
and transition strengths $B$($E$2;$\downarrow$) are compared with the recently
available experimental data. A very good agreement were obtained for all
nuclei.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:26:25 GMT""},{""version"":""v2"",""created"":""Wed, 14 Dec 2005 14:58:24 GMT""},{""version"":""v3"",""created"":""Sun, 12 Feb 2006 12:59:05 GMT""}]","2010-11-30"
"nucl-th/0511090","D. N. Basu","P. Roy Chowdhury, C. Samanta and D.N.Basu","Half lives of spherical proton emitters using density dependent M3Y
  interaction","Presented at International Workshop on Nuclear Structure Physics at
  the Extremes: New Directions, Shimla, India, 21-24 Mar 2005",,,,"nucl-th",,"  The proton radioactivity lifetimes of spherical proton emitters from the
ground and the isomeric states are calculated using the microscopic
nucleon-nucleus interaction potentials. The daughter nuclei density
distributions are folded with a realistic density dependent M3Y effective
interaction supplemented by a zero-range pseudo-potential. The density
dependence parameters of the interaction are extracted from the nuclear matter
calculations. The saturation energy per nucleon used for nuclear matter
calculations is determined from the co-efficient of the volume term of
Bethe-Weizsacker mass formula which is evaluated by fitting the recent
experimental and estimated atomic mass excesses from Audi-Wapstra-Thibault
atomic mass table by minimizing the mean square deviation. The quantum
mechanical tunneling probability is calculated within the WKB approximation.
Spherical charge distributions are used for calculating the Coulomb interaction
potentials. These calculations provide good estimates for the observed proton
radioactivity lifetimes.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:49:11 GMT""}]","2007-05-23"
"physics/0511245","Kenneth Pryor","Kenneth Pryor","Forecasting Convective Downburst Potential Over The United States Great
  Plains","web page (.html) format, 6 figures; minor text modifications, revised
  figure; replaced with PDF version",,,,"physics.ao-ph",,"  A favorable environment for downbursts associated with deep convective storm
systems that occur over the central and eastern continental United States
includes strong static instability with large amounts of convective available
potential energy and the presence of a mid-tropospheric layer of dry air.
However, previous research has identified that over the central United States,
especially in the Great Plains region, an environment between that favorable
for wet and dry microbursts may exist during the convective season, resulting
in the generation of hybrid type microbursts. Hybrid microbursts have been
found to originate from deep convective storms that generate heavy
precipitation, with sub-cloud evaporation of precipitation a significant factor
in downdraft acceleration. Accordingly, a new GOES sounder derived product, the
GOES Hybrid Microburst Index, is under development and is designed to assess
the potential for convective downbursts that develop in an intermediate
environment between a wet type, associated with heavy precipitation, and a dry
type associated with convection in which very little to no precipitation is
observed at the surface.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:08:53 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 2007 20:15:51 GMT""},{""version"":""v3"",""created"":""Tue, 10 Apr 2007 22:24:14 GMT""}]","2007-05-23"
"physics/0511246","Keisuke Hasegawa","Keisuke Hasegawa, Charles A. Rohde, Miriam Deutsch","Enhanced surface plasmon resonance absorption in metal-dielectric-metal
  layered microspheres","4 pages, 3 figures, Accepted for publication, Optics Letters.
  Revisions upon final review","Opt. Lett. 31, 1136 (2006)","10.1364/OL.31.001136",,"physics.optics",,"  We present a theoretical study of the dispersion relation of surface plasmon
resonances of mesoscopic metal-dielectric-metal microspheres. By analyzing the
solutions to Maxwell's equations, we obtain a simple geometric condition for
which the system exhibits a band of surface plasmon modes whose resonant
frequencies are weakly dependent on the multipole number. Using a modified Mie
calculation, we find that a large number of modes belonging to this
flat-dispersion band can be excited simultaneously by a plane wave, thus
enhancing the absorption cross-section. We demonstrate that the enhanced
absorption peak of the sphere is geometrically tunable over the entire visible
range.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:37:09 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 2005 01:25:20 GMT""},{""version"":""v3"",""created"":""Thu, 19 Jan 2006 00:15:29 GMT""}]","2009-11-11"
"physics/0511247","Carlos Paiva","Carlos R. Paiva, Marco A. Ribeiro","Generalized relativistic velocity addition with spacetime algebra","9 pages, 2 figures",,,,"physics.class-ph physics.ed-ph",,"  Using spacetime algebra, the geometric algebra of spacetime, the general
problem of relativistic addition of velocities is addressed. The successive
application of non-collinear Lorentz boosts is then studied in Minkowski
spacetime. Even spatial vectors, such as the relative velocity of two reference
frames, are analyzed in their proper setting: as vectors belonging to a
four-dimensional spacetime manifold and not as vectors in ordinary
three-dimensional (Euclidean) space. This is a clear and physical result that
illustrates the fact that Lorentz boosts do not form a group. The entire
derivation is carried through without using the second postulate on the speed
of light, thereby stressing that the framework of special relativity does not
depend on electromagnetism.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 04:17:57 GMT""}]","2007-05-23"
"physics/0511248","Jian Zi","Dezhuan Han, Xin Li, Fengqin Wu, and Jian Zi","Enhanced transmission of optically thick metallic films at infrared
  wavelengths","3 pages, 4 figures. Submitted to Appl. Phys. Lett","Appl. Phys. Lett. 88, 161110 ?(2006?)","10.1063/1.2196467",,"physics.optics physics.class-ph",,"  For an optically thick metallic film, the transmission for both s- and
p-polarized waves is extremely low. If the metallic film is coated on both
sides with a finite dielectric layer, light transmission for $p$-polarized
waves can be enhanced considerably. This enhancement is not related to surface
plasmon-polaritions. Instead, it is due to the interplay between Fabry-Perot
interference in the coated dielectric layer and the existence of the Brewster
angle at the dielectric/metallic interface. It is shown that the coated
metallic films can act as excellent polarizers at infrared wavelengths.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 07:14:17 GMT""}]","2012-12-27"
"physics/0511249","Tom Mackay","Tom G. Mackay (University of Edinburgh), Akhlesh Lakhtakia
  (Pennsylvania State University), Sandi Setiawan (University of Edinburgh)","Positive-, negative-, and orthogonal-phase-velocity propagation of
  electromagnetic plane waves in a simply moving medium",,"Optik 118, 195-202 (2007)","10.1016/j.ijleo.2006.02.006",,"physics.optics physics.space-ph",,"  Planewave propagation in a simply moving, dielectric-magnetic medium that is
isotropic in the co-moving reference frame, is classified into three different
categories: positive-, negative-, and orthogonal-phase-velocity (PPV, NPV, and
OPV). Calculations from the perspective of an observer located in a
non-co-moving reference frame show that, whether the nature of planewave
propagation is PPV or NPV (or OPV in the case of nondissipative mediums)
depends strongly upon the magnitude and direction of that observer's velocity
relative to the medium. PPV propagation is characterized by a positive real
wavenumber, NPV propagation by a negative real wavenumber. OPV propagation only
occurs for nondissipative mediums, but weakly dissipative mediums can support
nearly OPV propagation.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 11:16:51 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 10:40:52 GMT""}]","2015-06-26"
"physics/0511250","Kaushik Srinivasan","Kaushik Srinivasan","On a separation criterion for symmetric elliptic bluff body flows","4 pages",,,,"physics.flu-dyn",,"  A new analytical criterion that captures the onset of separation of flow past
elliptic cylinders is derived by considering the variation of the wall normal
velocity in Reynolds number parameter space. It is shown that this criterion
can be used to calculate the separation Reynolds number Re_s for the classical
problem of flow past a circular cylinder, a contentious and unresolved issue
till date. The two dimensional Navier-Stokes equations are solved
computationally and an exact value of Re_s is obtained by applying the
aforementioned criterion.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:11:45 GMT""},{""version"":""v2"",""created"":""Thu, 1 Dec 2005 09:21:55 GMT""},{""version"":""v3"",""created"":""Thu, 12 Jan 2006 08:53:33 GMT""}]","2007-05-23"
"physics/0511251","Tomas Bohr","Thomas R. N. Jansson, Martin P. Haspang, Kaare H. Jensen, Pascal
  Hersen and Tomas Bohr","Polygons on a Rotating Fluid Surface",,,"10.1103/PhysRevLett.96.174502",,"physics.flu-dyn physics.gen-ph",,"  We report a novel and spectacular instability of a fluid surface in a
rotating system. In a flow driven by rotating the bottom plate of a partially
filled, stationary cylindrical container, the shape of the free surface can
spontaneously break the axial symmetry and assume the form of a polygon
rotating rigidly with a speed different from that of the plate. With water we
have observed polygons with up to 6 corners. It has been known for many years
that such flows are prone to symmetry breaking, but apparently the polygonal
surface shapes have never been observed. The creation of rotating internal
waves in a similar setup was observed for much lower rotation rates, where the
free surface remains essentially flat. We speculate that the instability is
caused by the strong azimuthal shear due to the stationary walls and that it is
triggered by minute wobbling of the rotating plate. The slight asymmetry
induces a tendency for mode-locking between the plate and the polygon, where
the polygon rotates by one corner for each complete rotation of the plate.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 12:22:20 GMT""}]","2009-11-11"
"physics/0511252","Franco Bradamante","F. Bradamante (University of Trieste and INFN, Trieste, Italy) I.
  Koop, A. Otboev, V. Parkhomchuk, V. Reva P. Shatunov, Yu. Shatunov (Budker
  Institute of Nuclear Physics, Novosibirsk, Russia)","Conceptual Design for a Polarized Proton-Antiproton Collider Facility at
  Gsi","26 pages, 23 figures, new version with some correction to the
  original text",,,"INFN/TC-05/14","physics.acc-ph physics.ins-det",,"  Two possible options of polarized proton-antiproton collider at the future
HESR storage ring are considered. It is shown that the modifications of the
present HESR project which are needed to arrange for the polarized
proton-antiproton collisions are relatively moderate. An achievable luminosity
of 5x10^31 cm^-2 sec^-1 will provide a possibility to carry out experiments in
the CM energy range 10-30 GeV, a particularly interesting option for Drell-Yan
physics.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:03:12 GMT""},{""version"":""v2"",""created"":""Fri, 2 Dec 2005 08:02:27 GMT""},{""version"":""v3"",""created"":""Tue, 13 Dec 2005 10:44:18 GMT""}]","2007-05-23"
"physics/0511253","Aasis Vinayak Mr.","Aasis Vinayak.P.G","On a heuristic point regarding the origin of tachyons and a revamped
  definition for them","15 pages, no figures",,,,"physics.gen-ph",,"  As it follows from the classical analysis of the data, the paper is intended
to solve one of the main problems in the physics of tachyons, they are having
imaginary mass. Further we use quantum mechanics to deal with the matters
concerning the particle. The paper also considers the physical viability of
tachyons in real world. The paper also considers the natural occurrence and
persistence of tachyons
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:14:42 GMT""}]","2007-05-23"
"q-bio/0511049","Filipe Tostevin","Filipe Tostevin and Martin Howard","A stochastic model of Min oscillations in Escherichia coli and Min
  protein segregation during cell division","19 pages, 12 figures (25 figure files); published at
  http://www.iop.org/EJ/journal/physbio","Phys. Biol. 3 (2006) 1-12","10.1088/1478-3975/3/1/001",,"q-bio.SC cond-mat.stat-mech",,"  The Min system in Escherichia coli directs division to the centre of the cell
through pole-to-pole oscillations of the MinCDE proteins. We present a one
dimensional stochastic model of these oscillations which incorporates membrane
polymerisation of MinD into linear chains. This model reproduces much of the
observed phenomenology of the Min system, including pole-to-pole oscillations
of the Min proteins. We then apply this model to investigate the Min system
during cell division. Oscillations continue initially unaffected by the closing
septum, before cutting off rapidly. The fractions of Min proteins in the
daughter cells vary widely, from 50%-50% up to 85%-15% of the total from the
parent cell, suggesting that there may be another mechanism for regulating
these levels in vivo.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:34:53 GMT""}]","2007-05-23"
"q-bio/0511050","Mauro Copelli","Lucas S. Furtado and Mauro Copelli","Response of electrically coupled spiking neurons: a cellular automaton
  approach","11 pages, 8 figures, to appear in the Phys. Rev. E","Phys. Rev. E, 73, 011907 (2006)","10.1103/PhysRevE.73.011907",,"q-bio.NC cond-mat.dis-nn nlin.CG physics.bio-ph",,"  Experimental data suggest that some classes of spiking neurons in the first
layers of sensory systems are electrically coupled via gap junctions or
ephaptic interactions. When the electrical coupling is removed, the response
function (firing rate {\it vs.} stimulus intensity) of the uncoupled neurons
typically shows a decrease in dynamic range and sensitivity. In order to assess
the effect of electrical coupling in the sensory periphery, we calculate the
response to a Poisson stimulus of a chain of excitable neurons modeled by
$n$-state Greenberg-Hastings cellular automata in two approximation levels. The
single-site mean field approximation is shown to give poor results, failing to
predict the absorbing state of the lattice, while the results for the pair
approximation are in good agreement with computer simulations in the whole
stimulus range. In particular, the dynamic range is substantially enlarged due
to the propagation of excitable waves, which suggests a functional role for
lateral electrical coupling. For probabilistic spike propagation the Hill
exponent of the response function is $\alpha=1$, while for deterministic spike
propagation we obtain $\alpha=1/2$, which is close to the experimental values
of the psychophysical Stevens exponents for odor and light intensities. Our
calculations are in qualitative agreement with experimental response functions
of ganglion cells in the mammalian retina.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:03:30 GMT""}]","2007-05-23"
"q-bio/0511051","Martin Jacobi N","Martin Nilsson Jacobi and Mats Nordahl","Quasispecies and recombination",,,,,"q-bio.PE q-bio.GN",,"  Recombination is introduced into Eigen's theory of quasispecies evolution.
Comparing numerical simulations of the rate equations in the non-recombining
and recombining cases show that recombination has a strong effect on the error
threshold and, for a wide range of mutation rates, gives rise to two stable
fixed points in the dynamics. This bi-stability results in the existence of two
error thresholds. We prove that, under some assumptions on the fitness
landscape but for general crossover probability, a fixed point localized about
the sequence with superior fitness is globally stable for low mutation rates.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:13:36 GMT""}]","2007-05-23"
"quant-ph/0511256","Philippe Courteille","C. von Cube, S. Slama, M. Kohler, C. Zimmermann, and Ph.W. Courteille","Creating and probing long-range order in atomic clouds",,,"10.1002/prop.200610307",,"quant-ph",,"  Ultracold atoms interacting with the optical modes of a high-Q optical ring
cavity can synchronize their motion. The collective behavior makes the system
interesting for quantum computing applications. This paper is devoted to the
study of the collective coupling. We report on the first observation of a
collective dynamics and on the realization of a laser, the gain mechanism of
which is based on collective atomic recoil. We show that, if the atoms are
subject to a friction force, starting from an unordered distribution they
spontaneously form a moving density grating. Furthermore, we demonstrate that a
1D atomic density grating can be probed via Bragg scattering. By heterodyning
the Bragg-reflected light with a reference beam, we obtain detailed information
on phase shifts induced by the Bragg scattering process.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:23:46 GMT""}]","2009-11-11"
"quant-ph/0511257","Mark Acton","M. Acton, K.-A. Brickman, P.C. Haljan, P.J. Lee, L. Deslauriers, C.
  Monroe","Near-Perfect Simultaneous Measurement of a Qubit Register","18 pages, 7 figures; revised version has grammatical changes, updated
  references, and referee suggested changes particularly to CCD noise section",,,,"quant-ph",,"  Simultaneous measurement of multiple qubits stored in hyperfine levels of
trapped 111Cd+ ions is realized with an intensified charge-coupled device (CCD)
imager. A general theory of fluorescence detection for hyperfine qubits is
presented and applied to experimental data. The use of an imager for photon
detection allows for multiple qubit state measurement with detection fidelities
of greater than 98%. Improvements in readout speed and fidelity are discussed
in the context of scalable quantum computation architectures.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:21:16 GMT""},{""version"":""v2"",""created"":""Wed, 22 Feb 2006 16:55:04 GMT""}]","2007-05-23"
"quant-ph/0511258","Philippe Courteille","S. Slama, C. von Cube, M. Kohler, C. Zimmermann and Ph.W. Courteille","Multiple Reflections and Diffuse Scattering in Bragg Scattering at
  Optical Lattices",,,"10.1103/PhysRevA.73.023424",,"quant-ph",,"  We study Bragg scattering at 1D atomic lattices. Cold atoms are confined by
optical dipole forces at the antinodes of a standing wave generated inside a
laser-driven cavity. The atoms arrange themselves into an array of lens-shaped
layers located at the antinodes of the standing wave. Light incident on this
array at a well-defined angle is partially Bragg-reflected. We measure
reflectivities as high as 30%. In contrast to a previous experiment devoted to
the thin grating limit [S. Slama, et al., Phys. Rev. Lett. 94, 193901 (2005)]
we now investigate the thick grating limit characterized by multiple
reflections of the light beam between the atomic layers. In principle multiple
reflections give rise to a photonic stop band, which manifests itself in the
Bragg diffraction spectra as asymmetries and minima due to destructive
interference between different reflection paths. We show that close to
resonance however disorder favors diffuse scattering, hinders coherent multiple
scattering and impedes the characteristic suppression of spontaneous emission
inside a photonic band gap.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:45:52 GMT""}]","2009-11-11"
"quant-ph/0511259","ILki Kim","ILki Kim, Gerald J. Iafrate","Comment on the quantum nature of angular momentum using a coupled-boson
  representation",,,,,"quant-ph",,"  A simple approach for understanding the quantum nature of angular momentum
and its reduction to the classical limit is presented based on Schwinger's
coupled-boson representation. This approach leads to a straightforward
explanation of why the square of the angular momentum in quantum mechanics is
given by j(j+1) instead of just j^2, where j is the angular momentum quantum
number.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:03:06 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2006 02:57:50 GMT""}]","2007-05-23"
