"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"math/0511403","Pavol Severa","Pavol Severa","On deformation quantization of Dirac structures","5pp, 1 figure",,,,"math.QA",,"  Motivated by the problem of transverse deformation quantization of foliated
manifolds, we describe a quantization of Dirac structures (more precisely, of
those that are formal deformations of regular ones) to stacks of algebroids in
the sense of Kontsevich.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 10:52:14 GMT""}]","2007-05-23"
"math/0511404","Christoph Wockel","Christoph Wockel","The Samelson Product and Rational Homotopy for Gauge Groups","10 pages, 3 figures","Abh. Math. Sem. Univ. Hamburg 77 (2007) 219-228",,,"math.AT math-ph math.MP",,"  This paper is on the connecting homomorphism in the long exact homotopy
sequence of the evaluation fibration $ev_{p_0}:C(P,K)^K \to K$, where $C(P,K)^K
\cong Gau(P)$ is the gauge group of a continuous principal $K$-bundle $P$ over
a closed orientable surface or a sphere. We show that in this cases the
connecting homomorphism in the corresponding long exact homotopy sequence is
given in terms of the Samelson product. As applications, we exploit this
correspondence to get an explicit formula for $\pi_2 (Gau(P_k))$, where $P_k$
denotes the principal $S^3$-bundle over $S^4$ of Chern number $k$ and derive
explicit formulae for the rational homotopy groups $\pi_n (Gau(P)) \otimes \Q$.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 09:21:11 GMT""},{""version"":""v2"",""created"":""Wed, 1 Feb 2006 13:42:55 GMT""}]","2008-03-26"
"math/0511405","Corina Baciu","Corina Baciu","Maximal Cohen-Macaulay Modules over the Affine Cone of the Simple Node","39 pages",,,,"math.AC math.AG",,"  A concrete description of all graded maximal Cohen-Macaulay modules of rank
one and two over the affine cone of the simple node (a non-isolated
singularity) is given. For this purpose we construct an alghoritm that provides
extensions of MCM modules over an arbitrary hypersurface.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 10:15:31 GMT""}]","2007-05-23"
"math/0511406","Javier Parcet","Marius Junge, Javier Parcet","Theory of Amalgamated Lp Spaces in Noncommutative Probability","127 pages A wrong remark has been dropped",,,,"math.OA math.PR",,"  Let $f_1, f_2, ..., f_n$ be a family of independent copies of a given random
variable f in a probability space $(\Omega, \mathcal{F}, \mu)$. Then, the
following equivalence of norms holds whenever $1 \le q \le p < \infty$
$$\Big(\int_{\Omega} \Big[ \sum_{k=1}^n |f_k|^q \Big]^{\frac{p}{q}} d \mu
\Big)^{\frac1p} \sim \max_{r \in \{p,q\}} {n^{\frac1r} \Big(\int_\Omega |f|^r
d\mu \Big)^{\frac1r}}.$$ We prove a noncommutative analogue of this inequality
for sums of free random variables over a given von Neumann subalgebra. This
formulation leads to new classes of noncommutative function spaces which appear
in quantum probability as square functions, conditioned square functions and
maximal functions. Our main tools are Rosenthal type inequalities for free
random variables, noncommutative martingale theory and factorization of
operator-valued analytic functions. This allows us to generalize this
inequality as a result for noncommutative L_p in the category of operator
spaces. Moreover, the use of free random variables produces the right
formulation for $p=\infty$, which has not a commutative counterpart.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 10:19:23 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jul 2007 10:22:31 GMT""}]","2007-07-30"
"math/0511407","Christoph Lossen","Antonio Campillo, Gert-Martin Greuel and Christoph Lossen","Equisingular calculations for plane curve singularities","27 pages",,,,"math.AG math.AC",,"  We present an algorithm which, given a deformation with trivial section of a
reduced plane curve singularity, computes equations for the equisingularity
stratum (that is, the mu-constant stratum in characteristic 0) in the parameter
space of the deformation. The algorithm works for any, not necessarily reduced,
parameter space and for algebroid curve singularities C defined over an
algebraically closed field of characteristic 0 (or of characteristic p>ord(C)).
It provides at the same time an algorithm for computing the equisingularity
ideal of J. Wahl. The algorithms have been implemented in the computer algebra
system Singular. We show them at work by considering two non-trivial examples.
As the article is also meant for non-specialists in singularity theory, we
include a short survey on new methods and results about equisingularity in
characteristic 0.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:19:46 GMT""},{""version"":""v2"",""created"":""Fri, 23 Dec 2005 15:09:13 GMT""}]","2007-05-23"
"math/0511408","Luka Grubisic","Luka Grubisic","On Temple--Kato like inequalities and applications","submitted to SIAM Journal on Numerical Analysis (a major revision of
  the paper)",,,,"math.SP math.NA",,"  We give both lower and upper estimates for eigenvalues of unbounded positive
definite operators in an arbitrary Hilbert space. We show scaling robust
relative eigenvalue estimates for these operators in analogy to such estimates
of current interest in Numerical Linear Algebra. Only simple matrix theoretic
tools like Schur complements have been used. As prototypes for the strength of
our method we discuss a singularly perturbed Schroedinger operator and study
convergence estimates for finite element approximations. The estimates can be
viewed as a natural quadratic form version of the celebrated Temple--Kato
inequality.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:19:38 GMT""},{""version"":""v2"",""created"":""Wed, 16 May 2007 14:14:30 GMT""}]","2007-05-23"
"math/0511409","St\'ephane Launois","S Launois and T H Lenagan","Primitive ideals and automorphisms of quantum matrices",,,,,"math.RA math.QA",,"  Let q be a nonzero complex number that is not a root of unity. We give a
criterion for (0) to be a primitive ideal of the algebra O_q(M_{m,n}) of
quantum matrices. Next, we describe all height one primes of O_q(M_{m,n});
these two problems are actually interlinked since it turns out that (0) is a
primitive ideal of O_q(M_{m,n}) whenever O_q(M_{m,n}) has only finitely many
height one primes. Finally, we compute the automorphism group of O_q(M_{m,n})
in the case where m is not equal to n. In order to do this, we first study the
action of this group on the prime spectrum of O_q(M_{m,n}). Then, by using the
preferred basis of O_q(M_{m,n}) and PBW bases, we prove that the automorphism
group of O_q(M_{m,n}) is isomorphic to the torus (C*)^{m+n-1} when m is not
equal to n, and (m,n) is not equal to (1,3) and (3,1).
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:38:21 GMT""}]","2007-05-23"
"math/0511410","Tomohiro Yamada","Tomohiro Yamada","On the divisibility of odd perfect numbers by a high power of a prime","13 pages",,,,"math.NT",,"  We study some divisibility properties of multiperfect numbers. Our main
result is: if $N=p_1^{\alpha_1}... p_s^{\alpha_s} q_1^{2\beta_1}...
q_t^{2\beta_t}$ with $\beta_1, ..., \beta_t$ in some finite set S satisfies
$\sigma(N)=\frac{n}{d}N$, then N has a prime factor smaller than C, where C is
an effective computable constant depending only on s, n, S.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 12:02:17 GMT""},{""version"":""v2"",""created"":""Tue, 31 Jul 2007 10:30:16 GMT""}]","2007-07-31"
"math/0511411","Christopher J. Hillar","Christopher J Hillar, Charles R Johnson","Eigenvalues of Words in Two Positive Definite Letters","13 pages, SIAM Journal of Matrix Analysis",,,,"math.OA math.RA",,"  The question of whether all words in two real positive definite letters have
only positive eigenvalues is addressed and settled (negatively). This question
was raised some time ago in connection with a long-standing problem in
theoretical physics. A large class of words that do guarantee positive
eigenvalues is identified, and considerable evidence is given for the
conjecture that no other words do. In the process, a fundamental question about
solvability of symmetric word equations is encountered.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 12:22:58 GMT""}]","2007-05-23"
"math/0511412","Javier J. Guti\'errez","Javier J. Guti\'errez","Homological localizations of Eilenberg-Mac Lane spectra","9 pages","Forum Mathematicum. Volume 22, Issue 2 (2010) p. 349-356",,,"math.AT",,"  We discuss the Bousfield localization $L_E X$ for any spectrum $E$ and any
$HR$-module $X$, where $R$ is a ring with unit. Due to the splitting property
of $HR$-modules, it is enough to study the localization of Eilenberg-Mac Lane
spectra. Using general results about stable $f$-localizations, we give a method
to compute the localization of an Eilenberg-Mac Lane spectrum $L_E HG$ for any
spectrum $E$ and any abelian group $G$. We describe $L_E HG$ explicitly when
$G$ is one of the following: finitely generated abelian groups, $p$-adic
integers, Pr\""ufer groups, and subrings of the rationals. The results depend
basically on the $E$-acyclicity patterns of the spectrum $H\Q$ and the spectrum
$H\Z/p$ for each prime $p$.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:22:35 GMT""}]","2010-06-14"
"math/0511413","Yanyan Zhang","Bai Ruipu, Zhang yanyan","Elementary n-Lie algebras","13 pages",,,,"math.RA",,"  In this paper, we mainly study some properties of elementary n-Lie algebras,
and prove some necessary and sufficient conditions for elementary n-Lie
algebras, we also give the relations between elementary n-algebras and
E-algebras.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:31:49 GMT""},{""version"":""v2"",""created"":""Sat, 19 Nov 2005 02:27:14 GMT""}]","2007-05-23"
"math/0511416","Carlos Galindo","C. Galindo & F. Monserrat","Algebraic Integrability of Foliations of the Plane",,,,,"math.DS math.CV",,"  We give an algorithm to decide whether an algebraic plane foliation F has a
rational first integral and to compute it in the affirmative case. The
algorithm runs whenever we assume the polyhedrality of the cone of curves of
the surface obtained after blowing-up the set B_F of infinitely near points
needed to get the dicritical exceptional divisors of a minimal resolution of
the singularities of F. This condition can be detected in several ways, one of
them from the proximity relations in B_F and, as a particular case, it holds
when the cardinality of B_F is less than 9.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:53:32 GMT""},{""version"":""v2"",""created"":""Wed, 7 Dec 2005 13:19:44 GMT""}]","2007-05-23"
"nlin/0511031","Francesco d'Ovidio","S. De Monte, F. d'Ovidio, E. Mosekilde, H. Chate'","Low-dimensional chaos in populations of strongly-coupled noisy maps","16 pages, 9 figures. Progress of Theoretical Physics, to appear",,"10.1143/PTPS.161.27",,"nlin.CD",,"  We characterize the macroscopic attractor of infinite populations of noisy
maps subjected to global and strong coupling by using an expansion in order
parameters. We show that for any noise amplitude there exists a large region of
strong coupling where the macroscopic dynamics exhibits low-dimensional chaos
embedded in a hierarchically-organized, folded, infinite-dimensional set. Both
this structure and the dynamics occuring on it are well-captured by our
expansion. In particular, even low-degree approximations allow to calculate
efficiently the first macroscopic Lyapunov exponents of the full system.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:40:51 GMT""}]","2017-03-08"
"nucl-th/0511038","Veronica Malafaia","V. Malafaia, M. T. Pena, Ch. Elster, J. Adam Jr","Charged and neutral pion production in the S-matrix approach","8 pages, 5 figures","Phys.Rev.C74:042201,2006","10.1103/PhysRevC.74.042201",,"nucl-th",,"  The S-matrix approach is used to calculate charged as well as neutral pion
production reactions from NN scattering, with the same set of underlying
processes and interactions. The chiral perturbation theory piN scattering
amplitude is used. For the nucleon-nucleon distortions a newly developed
realistic potential within the Bonn family of potentials, valid well above the
pion production threshold, is considered. In the pi+ production case, the NN
potential, the piN relative p-waves and the treatment of the exchanged pion
energy build up the observed cross-section strength.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 18:49:08 GMT""},{""version"":""v2"",""created"":""Wed, 16 Nov 2005 11:15:48 GMT""}]","2008-11-26"
"nucl-th/0511039","Harald W. Griesshammer","Harald W. Griesshammer (TU Muenchen and University of
  Erlangen-Nuernberg)","How To Classify 3-Body Forces -- And Why","7 pages LaTeX2e using FBSart-class (provided); 2 figures in 3 .eps
  files included using graphicx; to appear in Few-Body Systems","Few Body Syst. 38 (2006) 67-73","10.1007/s00601-005-0139-6",,"nucl-th physics.atm-clus physics.atom-ph",,"  For systems with only short-range forces and shallow 2-body bound states, the
typical strength of any 3-body force in all partial-waves, including external
currents, is systematically estimated by renormalisation-group arguments in the
Effective Field Theory of Point-Like Interactions. The underlying principle and
some consequences in particular in Nuclear Physics are discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 12:12:31 GMT""}]","2009-11-11"
"nucl-th/0511040","E. N. E. van Dalen","E. N. E. van Dalen, C. Fuchs, and Amand Faessler","Momentum, Density, and Isospin dependence of the Symmetric and
  Asymmetric Nuclear Matter Properties","25 pages, 12 figures, to appear in Physical Review C","Phys.Rev. C72 (2005) 065803","10.1103/PhysRevC.72.065803",,"nucl-th",,"  Properties of symmetric and asymmetric nuclear matter have been investigated
in the relativistic Dirac-Brueckner-Hartree-Fock approach based on projection
techniques using the Bonn A potential. The momentum, density, and isospin
dependence of the optical potentials and nucleon effective masses are studied.
It turns out that the isovector optical potential depends sensitively on
density and momentum, but is almost insensitive to the isospin asymmetry.
Furthermore, the Dirac mass $m^*_D$ and the nonrelativistic mass $m^*_{NR}$
which parametrizes the energy dependence of the single particle spectrum, are
both determined from relativistic Dirac-Brueckner-Hartree-Fock calculations.
The nonrelativistic mass shows a characteristic peak structure at momenta
slightly above the Fermi momentum $\kf$. The relativistic Dirac mass shows a
proton-neutron mass splitting of $m^*_{D,n} <m^*_{D,p}$ in isospin asymmetric
nuclear matter. However, the nonrelativistic mass has a reversed mass splitting
$m^*_{NR,n} >m^*_{NR,p}$ which is in agreement with the results from
nonrelativistic calculations.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:21:47 GMT""}]","2009-11-11"
"nucl-th/0511041","Nils Paar","N. Paar, P. Papakonstantinou, R. Roth, and H. Hergert","Self-Consistent Description of Collective Excitations in the Unitary
  Correlation Operator Method","8 pages, 3 figures, submitted to Int. J. Mod. Phys. E, proceedings of
  the XII Nuclear Physics Workshop Marie and Pierre Curie ""Nuclear Structure
  and Low Energy Reactions"", Sept. 21-25, 2005, Kazimierz Dolny, Poland","Int.J.Mod.Phys. E15 (2006) 346-353","10.1142/S0218301306004193",,"nucl-th",,"  The fully self-consistent Random Phase Approximation (RPA) is constructed
within the Unitary Correlation Operator Method (UCOM), which describes the
dominant interaction-induced short-range central and tensor correlations by a
unitary transformation. Based on the correlated Argonne V18 interaction, the
RPA is employed in studies of multipole response in closed-shell nuclei across
the nuclide chart. The UCOM-RPA results in a collective character of giant
resonances, and it describes rather well the properties of isoscalar giant
monopole resonances. However, the excitation energies of isovector giant dipole
resonances and isoscalar giant quadrupole resonances are overestimated due to
the missing long-range correlations and three-body contributions.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:06:14 GMT""}]","2009-11-11"
"physics/0511133","Ivan Nikolaev S","Ivan S. Nikolaev, Peter Lodahl, A. Floris van Driel, A. Femius
  Koenderink, and Willem L. Vos","Strongly nonexponential time-resolved fluorescence of quantum-dot
  ensembles in three-dimensional photonic crystals","- changed content - 5 pages with 4 figures","Phys. Rev. B 75, 115302 (2007)","10.1103/PhysRevB.75.115302",,"physics.optics",,"  We observe experimentally that ensembles of quantum dots in three-dimensional
(3D) photonic crystals reveal strongly nonexponential time-resolved emission.
These complex emission decay curves are analyzed with a continuous distribution
of decay rates. The log-normal distribution describes the decays well for all
studied lattice parameters. The distribution width is identified with
variations of the radiative emission rates of quantum dots with various
positions and dipole orientations in the unit cell. We find a striking sixfold
change of the width of the distribution by varying the lattice parameter. This
interpretation qualitatively agrees with the calculations of the 3D projected
local density of states. We therefore conclude that fluorescence decay of
ensembles of quantum dots is highly nonexponential to an extent that is
controlled by photonic crystals.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:12:05 GMT""},{""version"":""v2"",""created"":""Tue, 21 Nov 2006 16:02:12 GMT""},{""version"":""v3"",""created"":""Mon, 5 Mar 2007 23:00:17 GMT""}]","2007-05-23"
"physics/0511137","Giulio Ruffini","G. Ruffini, C. Ray, J. Marco, L. Fuentemilla and C. Grau","Complex networks in brain electrical activity","22 pages, 5 figures. Starlab preprint. This version is an attempt to
  include better figures (no content change)",,,"Starlab Knowledge Nugget KN-2005-11-15","physics.bio-ph physics.data-an q-bio.NC",,"  We analyze the complex networks associated with brain electrical activity.
Multichannel EEG measurements are first processed to obtain 3D voxel
activations using the tomographic algorithm LORETA. Then, the correlation of
the current intensity activation between voxel pairs is computed to produce a
voxel cross-correlation coefficient matrix. Using several correlation
thresholds, the cross-correlation matrix is then transformed into a network
connectivity matrix and analyzed. To study a specific example, we selected data
from an earlier experiment focusing on the MMN brain wave. The resulting
analysis highlights significant differences between the spatial activations
associated with Standard and Deviant tones, with interesting physiological
implications. When compared to random data networks, physiological networks are
more connected, with longer links and shorter path lengths. Furthermore, as
compared to the Deviant case, Standard data networks are more connected, with
longer links and shorter path lengths--i.e., with a stronger ``small worlds''
character. The comparison between both networks shows that areas known to be
activated in the MMN wave are connected. In particular, the analysis supports
the idea that supra-temporal and inferior frontal data work together in the
processing of the differences between sounds by highlighting an increased
connectivity in the response to a novel sound.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 18:33:00 GMT""}]","2007-05-23"
"physics/0511139","Pavel Belov","Pavel A. Belov and Mario G. Silveirinha","Resolution of sub-wavelength lenses formed by the wire medium","10 pages, 12 figures, submitted to PRE",,"10.1103/PhysRevE.73.056607",,"physics.optics",,"  The restrictions on the resolution of transmission devices formed by wire
media (arrays of conductive cylinders) recently proposed in [Phys. Rev. B, 71,
193105 (2005)] and experimentally tested in [Phys. Rev. B, 73, 033108 (2006)]
are studied in this paper using both analytical and numerical modeling. It is
demonstrated that such transmission devices have sub-wavelength resolution that
can in principle be made as fine as required by a specific application by
controlling the lattice constant of the wire medium. This confirms that slabs
of the wire medium are unique imaging devices at the microwave frequency range,
and are capable of transmitting distributions of TM-polarized electric fields
with nearly unlimited sub-wavelength resolution to practically arbitrary
distances.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 23:45:33 GMT""},{""version"":""v2"",""created"":""Tue, 21 Mar 2006 15:49:27 GMT""}]","2009-11-11"
"physics/0511140","Lenard Pal","L.Pal and M. Makai","Statistical considerations on safety analysis","20 pages, 4 figures, International Meeting on Updates in Best
  Estimate Methods, November 14-18, 2004 Washington, D.C",,,,"physics.data-an",,"  Alerting experience with a well-acknowledged safety analysis code initiated
the authors to pay attention to safety issues of complex systems. Their first
concern was the statistical characteristics of such a code. We point out a
remarkable weakness of the so called 0.95/0.95 methodology: when repeating the
search for the tolerance limit, we get a higher value with non-negligible
probability. We propose the sign test as an alternative method. We point out
the correct form of Wilks' formula when the number of parameters subjected to
limitation is two or more.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 08:39:01 GMT""}]","2007-05-23"
"physics/0511141","M. Ebrahim Fouladvand","M. Ebrahim Fouladvand, M. Reza Shaebani and Zeinab Sadjadi","Intelligent Controlling Simulation of Traffic Flow in a Small City
  Network","8 pages, 10 eps figures, Revtex","J. Phys. Soc. Jpn. 73, 3209 ( 2004)","10.1143/JPSJ.73.3209",,"physics.soc-ph cond-mat.stat-mech",,"  We propose a two dimensional probabilistic cellular automata for the
description of traffic flow in a small city network composed of two
intersections. The traffic in the network is controlled by a set of traffic
lights which can be operated both in fixed-time and a traffic responsive
manner. Vehicular dynamics is simulated and the total delay experienced by the
traffic is evaluated within specified time intervals. We investigate both
decentralized and centralized traffic responsive schemes and in particular
discuss the implementation of the {\it green-wave} strategy. Our investigations
prove that the network delay strongly depends on the signalisation strategy. We
show that in some traffic conditions, the application of the green-wave scheme
may destructively lead to the increment of the global delay.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 08:54:49 GMT""}]","2012-03-19"
"physics/0511142","Regina Katsman DR","R. Katsman, E. Aharonov, H. Scher (Weizmann Institute of Science,
  Israel)","Withdrawal","This paper has been withdrawn",,,,"physics.geo-ph",,"  This paper has been withdrawn
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 10:07:13 GMT""},{""version"":""v2"",""created"":""Wed, 28 Dec 2005 11:17:17 GMT""}]","2007-05-23"
"physics/0511143","Rachid Annou","R.Annou and B.Ferhat","Influence of Electron Diffusion On The Wave Front Shape for Intense
  Shock Waves in Xenon","3 pages, 3 figures",,,,"physics.plasm-ph physics.atom-ph",,"  A bifurcation of strong shock waves front for xenon in a shock tube has been
noted. We propose a model which explains the effect and gives a variation-law
of the front shape with respect to the Mach number M and the unperturbed gas
pressure p1.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:20:57 GMT""}]","2007-05-23"
"q-bio/0511023","Fr\'ed\'erique Cl\'ement","Frederique Clement (1), Jean-Pierre Francoise (2) ((1) INRIA, (2)
  CNRS, Univ Paris 6)","Mathematical modeling of the GnRH pulse and surge generator","16 pages, 9 figures","SIAM Journal on Applied Dynamical Systems, Vol. 6 (2007), No. 2,
  pp 441-456",,,"q-bio.TO math.DS",,"  We propose a mathematical model allowing for the alternating pulse and surge
pattern of GnRH (Gonadotropin Releasing Hormone) secretion. The model is based
on the coupling between two systems running on different time scales. The
faster system corresponds to the average activity of GnRH neurons, while the
slower one corresponds to the average activity of regulatory neurons. The
analysis of the slow/fast dynamics exhibited within and between both systems
allows to explain the different patterns (slow oscillations, fast oscillations
and periodical surge) of GnRH secretion. Specifications on the model parameter
values are derived from physiological knowledge in terms of amplitude,
frequency and plateau length of oscillations. The behavior of the model is
finally illustrated by numerical simulations reproducing natural ovarian cycles
and either direct or indirect actions of ovarian steroids on GnRH secretion.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:49:31 GMT""},{""version"":""v2"",""created"":""Fri, 27 Oct 2006 10:22:30 GMT""}]","2007-07-12"
"q-bio/0511024","Gustavo Camelo Neto","V.M. Kenkre, L. Giuggioli, G. Abramson, and G. Camelo-Neto","Theory of Hantavirus Infection Spread Incorporating Localized Adult and
  Itinerant Juvenile Mice","12 pages, 8 eps figures. Submitted to Phys. Rev. E",,,,"q-bio.PE cond-mat.stat-mech",,"  A generalized model of the spread of the Hantavirus in mice populations is
presented on the basis of recent observational findings concerning the movement
characteristics of the mice that carry the infection. The factual information
behind the generalization is based on mark-recapture observations reported in
Giuggioli et al. [Bull. Math. Biol. 67, 1135 (2005)] that have necessitated the
introduction of home ranges in the simple model of Hantavirus spread presented
by Abramson and Kenkre [Phys. Rev. E 66, 11912 (2002)]. The essential feature
of the model presented here is the existence of adult mice that remain largely
confined to locations near their home ranges, and itinerant juvenile mice that
are not so confined, and, during their search for their own homes, move and
infect both other juveniles and adults that they meet during their movement.
The model is presented at three levels of description: mean field, kinetic and
configuration. Results of calculations are shown explicitly from the mean field
equations and the simulation rules, and are found to agree in some respects and
to differ in others. The origin of the differences is shown to lie in spatial
correlations. It is indicated how mark-recapture observations in the field may
be employed to verify the applicability of the theory.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:16:15 GMT""}]","2007-05-23"
"q-bio/0511025","Luca Giuggioli","L. Giuggioli, G. Abramson, V. M. Kenkre, G. Suz\'an, E. Marc\'e, T. L.
  Yates","Diffusion and Home Range Parameters from Rodent Population Measurements
  in Panama","18 pages, 5 figures","Bull. Math. Biol. 67, (2005) 1135-1149",,,"q-bio.PE q-bio.OT",,"  Simple random walk considerations are used to interpret rodent population
data collected in Hantavirus-related investigations in Panama regarding the
short-tailed cane mouse, \emph{Zygodontomys brevicauda}. The diffusion constant
of mice is evaluated to be of the order of (and larger than) 200 meters squared
per day. The investigation also shows that the rodent mean square displacement
saturates in time, indicating the existence of a spatial scale which could, in
principle, be the home range of the rodents. This home range is concluded to be
of the order of 70 meters. Theoretical analysis is provided for interpreting
animal movement data in terms of an interplay of the home ranges, the diffusion
constant, and the size of the grid used to monitor the movement. The study
gives impetus to a substantial modification of existing theory of the spread of
the Hantavirus epidemic which has been based on simple diffusive motion of the
rodents, and additionally emphasizes the importance for developing more
accurate techniques for the measurement of rodent movement.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:55:43 GMT""}]","2016-08-16"
"q-bio/0511026","Luca Giuggioli","L. Giuggioli, G. Abramson, V.M. Kenkre, R.R. Parmenter, T.L. Yates","Theory of Home Range Estimation from Mark-Recapture Measurements of
  Animal Populations","21 pages, 7 figures, in press Journal of Theoretical Biology",,,,"q-bio.PE q-bio.OT",,"  A theory is provided for the estimation of home ranges of animals from the
standard mark-recapture technique in which data are collected by capturing,
tagging and recapturing the animals. The theoretical tool used is the
Fokker-Planck equation, its characteristic quantities being the diffusion
constant which describes the motion of the animals, and the attractive
potential which addresses their tendency to live near their burrows. The
measurement technique is shown to correspond to the calculation of a certain
kind of mean square displacement of the animals relevant to the specific
probing window in space corresponding to the trapping region. The output of the
theory is a sigmoid curve of the observable mean square displacement as a
function of the ratio of distances characteristic of the home range and the
trapping region, along with an explicit prescription to extract the home range
form observations. Applications of the theory to rodent movement in Panama and
New Mexico are pointed out. An analysis is given of the sensitivity of our
theory to the choice of the confining potential via the use of various
representative cases. A comparison is provided between home range size inferred
from our method and from other procedures employed in the literature.
Consequences of home range overlap are also discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 22:44:44 GMT""}]","2007-05-23"
"q-bio/0511027","Changbong Hyeon","G. Caliskan, C. Hyeon, U. Perez-Salas, R. M. Briber, S. A. Woodson,
  and D. Thirumalai","Persistence Length Changes Dramatically as RNA Folds","4 page. Phys. Rev. Lett. in press","Phys. Rev. Lett 95, 268303 (2005)","10.1103/PhysRevLett.95.268303",,"q-bio.BM cond-mat.soft q-bio.QM",,"  We determine the persistence length, $l_p$, for a bacterial group I ribozyme
as a function of concentration of monovalent and divalent cations by fitting
the distance distribution functions $P(r)$ obtained from small angle X-ray
scattering intensity data to the asymptotic form of the calculated $P_{WLC}(r)$
for a worm-like chain (WLC). The $l_p$ values change dramatically over a narrow
range of \Mg concentration from $\sim$21 \AA in the unfolded state (\textbf{U})
to $\sim$10 \AA in the compact ($\mathrm{I_C}$) and native states. Variations
in $l_p$ with increasing \Na concentration are more gradual. In accord with the
predictions of polyelectrolyte theory we find $l_p \propto 1/ \kappa^2$ where
$\kappa$ is the inverse Debye-screening length.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 00:01:08 GMT""}]","2009-11-11"
